,congress_numbers,current,description,enddate,party,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website,extra.address,extra.contact_form,extra.fax,extra.office,person.bioguideid,person.birthday,person.cspanid,person.firstname,person.gender,person.gender_label,person.lastname,person.link,person.middlename,person.name,person.namemod,person.nickname,person.osid,person.pvsid,person.sortname,person.twitterid,person.youtubeid,leadership_title,extra.rss_url,caucus,extra.how,age
85,"[117, 118, 119]",True,Junior Senator for Alaska,2027-01-03,Republican,202-224-3004,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,AK,Sen.,Senator,https://www.sullivan.senate.gov,302 Hart Senate Office Building Washington DC 20510,https://www.sullivan.senate.gov/contact/email,,302 Hart Senate Office Building,S001198,1964-11-13,1023262.0,Dan,male,Male,Sullivan,https://www.govtrack.us/congress/members/dan_sullivan/412665,,Sen. Dan Sullivan [R-AK],,,N00035774,114964,"Sullivan, Dan (Sen.) [R-AK]",SenDanSullivan,,,,,,57.1945205479452
86,"[117, 118, 119]",True,Junior Senator for Iowa,2027-01-03,Republican,202-224-3254,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,IA,Sen.,Senator,https://www.ernst.senate.gov/public,730 Hart Senate Office Building Washington DC 20510,https://www.ernst.senate.gov/public/index.cfm/contact,,730 Hart Senate Office Building,E000295,1970-07-01,75342.0,Joni,female,Female,Ernst,https://www.govtrack.us/congress/members/joni_ernst/412667,,Sen. Joni Ernst [R-IA],,,N00035483,128583,"Ernst, Joni (Sen.) [R-IA]",SenJoniErnst,,Senate Republican Conference Vice Chair,,,,51.56164383561644
87,"[117, 118, 119]",True,Junior Senator for North Carolina,2027-01-03,Republican,202-224-6342,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,NC,Sen.,Senator,https://www.tillis.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,https://www.tillis.senate.gov/public/index.cfm/email-me,,113 Dirksen Senate Office Building,T000476,1960-08-30,77055.0,Thom,male,Male,Tillis,https://www.govtrack.us/congress/members/thom_tillis/412668,,Sen. Thom Tillis [R-NC],,,N00035492,57717,"Tillis, Thom (Sen.) [R-NC]",senthomtillis,,,,,,61.4027397260274
88,"[117, 118, 119]",True,Junior Senator for South Dakota,2027-01-03,Republican,202-224-5842,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,SD,Sen.,Senator,https://www.rounds.senate.gov,716 Hart Senate Office Building Washington DC 20510,https://www.rounds.senate.gov/contact/email-mike,,716 Hart Senate Office Building,R000605,1954-10-24,78317.0,Mike,male,Male,Rounds,https://www.govtrack.us/congress/members/mike_rounds/412669,,Sen. Mike Rounds [R-SD],,,N00035187,7455,"Rounds, Mike (Sen.) [R-SD]",SenatorRounds,,,,,,67.25753424657535
89,"[117, 118, 119]",True,Junior Senator for Nebraska,2027-01-03,Republican,202-224-4224,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,NE,Sen.,Senator,https://www.sasse.senate.gov/public,139 Russell Senate Office Building Washington DC 20510,https://www.sasse.senate.gov/public/index.cfm/email-ben,,139 Russell Senate Office Building,S001197,1972-02-22,77429.0,Benjamin,male,Male,Sasse,https://www.govtrack.us/congress/members/benjamin_sasse/412671,Eric,Sen. Benjamin “Ben” Sasse [R-NE],,Ben,N00035544,150182,"Sasse, Benjamin “Ben” (Sen.) [R-NE]",SenSasse,,,,,,49.915068493150685
90,"[117, 118, 119]",True,Junior Senator for Kansas,2027-01-03,Republican,202-224-4774,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,KS,Sen.,Senator,https://www.marshall.senate.gov,479A Russell Senate Office Building Washington DC 20510,https://www.marshall.senate.gov,,479a Russell Senate Office Building,M001198,1960-08-09,103425.0,Roger,male,Male,Marshall,https://www.govtrack.us/congress/members/roger_marshall/412704,,Sen. Roger Marshall [R-KS],,,N00037034,172080,"Marshall, Roger (Sen.) [R-KS]",SenatorMarshall,,,,,,61.46027397260274
91,"[117, 118, 119]",True,Junior Senator for Minnesota,2027-01-03,Democrat,202-224-5641,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,MN,Sen.,Senator,https://www.smith.senate.gov,720 Hart Senate Office Building Washington DC 20510,https://www.smith.senate.gov/contact-tina,,720 Hart Senate Office Building,S001203,1958-03-04,111313.0,Tina,female,Female,Smith,https://www.govtrack.us/congress/members/tina_smith/412742,Flint,Sen. Tina Smith [D-MN],,,N00042353,152968,"Smith, Tina (Sen.) [D-MN]",SenTinaSmith,,,,,,63.895890410958906
92,"[117, 118, 119]",True,Junior Senator for Mississippi,2027-01-03,Republican,202-224-5054,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,MS,Sen.,Senator,https://www.hydesmith.senate.gov,702 Hart Senate Office Building Washington DC 20510,https://www.hydesmith.senate.gov/content/contact-senator,,702 Hart Senate Office Building,H001079,1959-05-10,113208.0,Cindy,female,Female,Hyde-Smith,https://www.govtrack.us/congress/members/cindy_hyde_smith/412743,,Sen. Cindy Hyde-Smith [R-MS],,,N00043298,20784,"Hyde-Smith, Cindy (Sen.) [R-MS]",SenHydeSmith,,,,,,62.71232876712329
93,"[117, 118, 119]",True,Junior Senator for Wyoming,2027-01-03,Republican,202-224-3424,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,WY,Sen.,Senator,https://www.lummis.senate.gov,124 Russell Senate Office Building Washington DC 20510,https://www.lummis.senate.gov,,124 Russell Senate Office Building,L000571,1954-09-10,1031365.0,Cynthia,female,Female,Lummis,https://www.govtrack.us/congress/members/cynthia_lummis/412294,M.,Sen. Cynthia Lummis [R-WY],,,N00029788,15546,"Lummis, Cynthia (Sen.) [R-WY]",SenLummis,,,,,,67.37808219178082
94,"[117, 118, 119]",True,Junior Senator for Alabama,2027-01-03,Republican,202-224-4124,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,AL,Sen.,Senator,https://www.tuberville.senate.gov,142 Russell Senate Office Building Washington DC 20510,https://www.tuberville.senate.gov,,142 Russell Senate Office Building,T000278,1954-09-18,,Tommy,male,Male,Tuberville,https://www.govtrack.us/congress/members/tommy_tuberville/456796,Hawley,Sen. Tommy Tuberville [R-AL],,,N00044434,188306,"Tuberville, Tommy (Sen.) [R-AL]",SenTuberville,,,,,,67.35616438356165
95,"[117, 118, 119]",True,Junior Senator for Colorado,2027-01-03,Democrat,202-224-5941,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,CO,Sen.,Senator,https://www.hickenlooper.senate.gov,374 Russell Senate Office Building Washington DC 20510,https://www.hickenlooper.senate.gov,,374 Russell Senate Office Building,H000273,1952-02-07,,John,male,Male,Hickenlooper,https://www.govtrack.us/congress/members/john_hickenlooper/456797,Wright,Sen. John Hickenlooper [D-CO],,,N00044206,,"Hickenlooper, John (Sen.) [D-CO]",,,,,,,69.96986301369863
96,"[117, 118, 119]",True,Junior Senator for Tennessee,2027-01-03,Republican,202-224-4944,senator,Senator,class2,Class 2,junior,Junior,2021-01-03,TN,Sen.,Senator,https://www.hagerty.senate.gov,248 Russell Senate Office Building Washington DC 20510,https://www.hagerty.senate.gov,,248 Russell Senate Office Building,H000601,1959-08-14,,Bill,male,Male,Hagerty,https://www.govtrack.us/congress/members/bill_hagerty/456798,Francis,Sen. Bill Hagerty [R-TN],,,N00045369,128466,"Hagerty, Bill (Sen.) [R-TN]",SenatorHagerty,,,,,,62.44931506849315
97,[117],True,Junior Senator for California,2023-01-03,Democrat,202-224-3553,senator,Senator,class3,Class 3,junior,Junior,2021-01-20,CA,Sen.,Senator,https://www.padilla.senate.gov,112 Hart Senate Office Building Washington DC 20510,https://www.padilla.senate.gov,,112 Hart Senate Office Building,P000145,1973-03-22,,Alejandro,male,Male,Padilla,https://www.govtrack.us/congress/members/alejandro_padilla/456856,,Sen. Alejandro “Alex” Padilla [D-CA],,Alex,N00047888,,"Padilla, Alejandro “Alex” (Sen.) [D-CA]",SenAlexPadilla,,,,,appointment,48.83561643835616
98,"[117, 118, 119]",True,Senior Senator for Georgia,2027-01-03,Democrat,202-224-3521,senator,Senator,class2,Class 2,senior,Senior,2021-01-20,GA,Sen.,Senator,https://www.ossoff.senate.gov,455 Russell Senate Office Building Washington DC 20510,https://www.ossoff.senate.gov,,455 Russell Senate Office Building,O000174,1987-02-16,,Jon,male,Male,Ossoff,https://www.govtrack.us/congress/members/jon_ossoff/456857,,Sen. Jon Ossoff [D-GA],,,N00040675,,"Ossoff, Jon (Sen.) [D-GA]",SenOssoff,,,,,,34.92054794520548
99,[117],True,Junior Senator for Georgia,2023-01-03,Democrat,202-224-3643,senator,Senator,class3,Class 3,junior,Junior,2021-01-20,GA,Sen.,Senator,https://www.warnock.senate.gov,388 Russell Senate Office Building Washington DC 20510,https://www.warnock.senate.gov,,388 Russell Senate Office Building,W000790,1969-07-23,,Raphael,male,Male,Warnock,https://www.govtrack.us/congress/members/raphael_warnock/456858,Gamaliel,Sen. Raphael Warnock [D-GA],,,N00046489,,"Warnock, Raphael (Sen.) [D-GA]",SenatorWarnock,,,,,special-election,52.5013698630137
